gene,location,confidence
AGPAT1,Cytosol,2.0
AGPAT2,Cytoskeleton,2.0
AGPAT4,Nucleolus,2.0
AGPAT4,Golgi apparatus,2.0
AGPAT4,Vesicles,2.0
AGPS,Vesicles,3.0
AGR2,Cytosol,2.0
AGR3,Endoplasmic reticulum,1.0
AGRN,Cytosol,1.0
AGRN,Plasma membrane,4.0
AGTPBP1,Nucleolus,2.0
AGTPBP1,Vesicles,2.0
AGTR1,Vesicles,0.0
AGTRAP,Vesicles,1.0
AGXT,Vesicles,1.0
AHCTF1,Nucleus,1.0
AHCY,Cytosol,1.0
AHCYL1,Cytosol,2.0
AHCYL2,Nucleus,2.0
AHCYL2,Cytosol,2.0
AHDC1,Nucleus,1.0
AHI1,Cytoskeleton,2.0
AHNAK,Cytosol,1.0
AHNAK,Plasma membrane,1.0
AHNAK2,Cytosol,3.0
AHNAK2,Plasma membrane,3.0
AHR,Nucleus,3.0
AHR,Cytosol,3.0
AHRR,Nucleus,1.0
AHRR,Cytosol,1.0
AHSA1,Cytosol,1.0
AHSA2,Vesicles,2.0
AHSA2,Cytoskeleton,2.0
AHSA2,Cytoskeleton,2.0
AHSG,Golgi apparatus,1.0
AIDA,Cytoskeleton,2.0
AIDA,Cytoskeleton,2.0
AIDA,Cytosol,2.0
AIFM2,Cytosol,2.0
AIFM3,Mitochondria,3.0
AIG1,Golgi apparatus,2.0
AIM1,Nucleus,2.0
AIM1,Cytoskeleton,2.0
AIM1,Cytosol,2.0
AIM1L,Nucleus,2.0
AIM2,Nucleus,1.0
AIM2,Cytosol,1.0
AIM2,Mitochondria,1.0
AIMP1,Cytosol,3.0
AIMP2,Cytosol,2.0
AIP,Cytosol,1.0
AJUBA,Nucleus,2.0
AJUBA,Golgi apparatus,2.0
AK1,Cytosol,1.0
AK3,Mitochondria,3.0
AK4,Mitochondria,4.0
AK5,Cytoskeleton,0.0
AK5,Cytosol,3.0
AK6,Nucleus,1.0
AK9,Nucleus,3.0
AK9,Nucleus,3.0
AKAP1,Mitochondria,4.0
AKAP10,Cytosol,1.0
AKAP10,Plasma membrane,2.0
AKAP11,Nucleolus,2.0
AKAP11,Cytosol,2.0
AKAP11,Plasma membrane,3.0
AKAP12,Cytosol,1.0
AKAP12,Plasma membrane,1.0
AKAP13,Cytosol,1.0
AKAP17A,Nucleus,1.0
AKAP17A,Cytosol,2.0
AKAP5,Nucleus,2.0
AKAP8,Nucleus,1.0
AKAP8L,Nucleus,1.0
AKAP9,Golgi apparatus,3.0
AKAP9,Vesicles,2.0
AKAP9,Cytoskeleton,1.0
AKIP1,Nucleus,1.0
AKIRIN1,Nucleus,1.0
AKIRIN1,Nucleus,1.0
AKIRIN2,Nucleus,1.0
AKNA,Nucleus,1.0
AKNA,Cytoskeleton,1.0
AKR1A1,Nucleus,2.0
AKR1A1,Cytosol,1.0
AKR1B1,Nucleus,1.0
AKR1B1,Cytosol,1.0
AKR1B10,Cytosol,1.0
AKR1B10,Plasma membrane,1.0
AKR1B15,Cytosol,1.0
AKR1B15,Plasma membrane,1.0
AKR1C1,Endoplasmic reticulum,1.0
AKR1C1,Cytosol,1.0
AKR1C2,Nucleus,2.0
AKR1C2,Nucleolus,2.0
AKR1C2,Endoplasmic reticulum,2.0
AKR1C2,Cytosol,2.0
AKR1C3,Nucleus,2.0
AKR1C3,Nucleolus,2.0
AKR1C3,Endoplasmic reticulum,2.0
AKR1C3,Cytosol,2.0
AKR1C4,Nucleus,0.0
AKR1C4,Nucleolus,0.0
AKR1C4,Endoplasmic reticulum,0.0
AKR1C4,Cytosol,0.0
AKR1D1,Nucleus,2.0
AKR1D1,Cytosol,1.0
AKR1E2,Nucleus,3.0
AKR1E2,Golgi apparatus,3.0
AKR7A2,Cytosol,1.0
AKR7A3,Cytosol,2.0
